trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,123,128.201048961,4.79368883482,-8247.8438377,40.9590856651,3.9212997533043836,6.113296389677925,-0.21844393188723524,79.10347558323734,292.8309128924993,53.9463059317,128.201048961,4.79368883482,70.4968869409,429.233844819
philippine,124,128.241724543,4.70131353112,-8121.55797906,33.968911845899996,5.231958925473312,5.2319495848859825,8.926480310993684e-07,58.864701689202725,588.9995966725,35.9671520426,128.241724543,4.70131353112,70.4031460258,438.246461169
philippine,125,128.292886479,4.61777762474,-7960.38285289,31.9534892692,5.7669287270156415,4.491365869660778,0.12434453361947048,48.3130845267896,494.05723209249936,34.9492000949,128.292886479,4.61777762474,70.4415452573,448.648183609
philippine,126,128.355899275,4.54072892171,-8019.75937306,29.962918556299996,6.509265703551121,4.986562739650986,0.13245700137431712,45.78393081728976,744.3076956775003,39.9506440513,128.355899275,4.54072892171,70.633990396,460.694515918
philippine,127,128.371583159,4.49354866021,-7941.72019883,35.9929475195,6.477007593427658,6.477001919259179,4.380241093321687e-07,69.09844621530218,13.54760309250014,27.9945340169,128.371583159,4.49354866021,70.5390263893,468.506212396
philippine,128,128.389619731,4.3947486713,-7601.04559882,35.9958262085,6.2500177553230785,4.472977891069934,0.1657223338378304,60.96896490447047,3.388952812500065,48.99435952645,128.389619731,4.3947486713,70.1863926272,484.81444202
philippine,129,128.407651523,4.2959482487,-7155.06524252,41.984329830899995,3.807385633613125,2.8573748398823224,0.14254237605519726,64.5628724749549,411.2555792200001,43.98363658621,128.407651523,4.2959482487,69.8668857285,501.904291827
philippine,130,128.43232077,4.2592384336,-7168.45053541,21.935733543530002,10.527779254472794,1.6807589535724032,0.7246584439626333,27.337975839269035,708.0462550100001,48.8570022363,128.43232077,4.2592384336,69.9070949955,510.602689005
philippine,131,128.530735952,4.20851739206,-7023.39305029,15.958850367659998,3.995620702817799,3.1096916975998323,0.12468544031447427,18.352821033584384,176.900257697499,43.8869864542,128.530735952,4.20851739206,70.530369048,527.691656446
philippine,132,128.580120176,4.13495058556,-6903.22046114,13.982518836130001,2.7328204508257397,3.641611994305918,-0.142568228827062,13.936872874255078,771.4408612725001,36.9538784687,128.580120176,4.13495058556,70.6084667617,546.850238916
philippine,133,128.625410938,4.05947815993,-6847.85253656,25.98626725701,5.70829385456321,3.029248101808206,0.3066132061090069,33.491235419888284,718.9775553625004,48.9741899271,128.625410938,4.05947815993,70.0137588892,566.187614902
philippine,134,128.642104693,3.9706853434,-6730.49458061,29.98629767839,4.843212704540108,2.425937565449689,0.33253888684485977,40.00877367433921,-470.00610381749993,46.9785888962,128.642104693,3.9706853434,68.2763640795,584.894056882
philippine,135,128.68329722,3.89330723906,-6600.96987326,23.9770441601,3.341202871523353,2.8280787703054044,0.08317404375557792,28.746850993752094,-196.9064945049995,41.9599030265,128.68329722,3.89330723906,66.7425195965,604.370170366
philippine,136,128.72448234,3.81592722605,-6249.84338033,5.99424352999,5.778384280930857,5.77838277753764,1.3008769748687253e-07,4.835245498002205,465.0014847074999,41.9597828075,128.72448234,3.81592722605,65.1797703697,623.458000565
